0 - [ 11  6  3  14  4  3  6  9  4  ]
1 - [ 6  36  6  21  4  3  11  3  33  4  ]
2 - [ 21  42  36  33  36  21  54  68  33  46  ]
3 - [ 83  98  68  21  21  46  33  33  36  36  ]
4 - [ 101  98  83  36  33  21  68  33  36  21  ]
5 - [ 133  101  101  83  98  36  21  33  33  21  ]
6 - [ 133  101  101  101  101  133  159  98  83  21  ]
7 - [ 197  159  133  101  133  101  101  101  83  98  ]
8 - [ 197  197  235  101  101  159  101  133  101  133  ]
9 - [ 253  197  235  197  101  133  101  101  101  133  ]
10 - [ 277  253  197  235  197  133  101  101  101  101  ]
11 - [ 277  277  253  235  197  197  101  101  101  101  ]
12 - [ 277  277  277  335  277  253  235  197  197  101  ]
13 - [ 368  377  277  335  277  277  277  253  197  197  ]
14 - [ 398  395  368  377  277  277  277  335  277  253  ]
15 - [ 395  398  428  431  398  395  377  368  277  277  ]
16 - [ 395  398  398  395  428  431  368  377  277  277  ]
17 - [ 398  428  395  398  395  431  368  377  277  277  ]
18 - [ 527  398  395  515  530  431  521  398  524  395  ]
19 - [ 515  524  530  521  527  395  395  398  398  431  ]
20 - [ 587  527  521  524  515  530  398  395  398  395  ]
21 - [ 610  587  587  524  530  515  521  527  398  395  ]
22 - [ 587  610  587  524  527  521  515  530  395  398  ]
23 - [ 667  587  587  610  530  521  527  524  515  395  ]
24 - [ 667  587  610  587  527  530  521  524  515  395  ]
25 - [ 667  610  587  587  527  515  524  521  530  395  ]
26 - [ 667  754  667  760  763  587  587  610  524  530  ]
27 - [ 792  667  667  763  760  754  587  610  587  524  ]
28 - [ 792  792  822  825  667  754  760  763  667  587  ]
29 - [ 845  822  825  792  792  667  763  667  760  754  ]
30 - [ 872  845  792  822  825  792  754  667  760  667  ]
31 - [ 872  845  792  825  792  822  760  667  754  667  ]
32 - [ 845  792  667  822  792  932  667  872  825  760  ]
33 - [ 932  872  845  792  825  792  822  667  760  667  ]
34 - [ 932  992  932  872  845  822  792  792  825  667  ]
35 - [ 932  932  992  872  845  792  822  825  792  667  ]
36 - [ 845  792  932  932  825  792  992  822  872  667  ]
37 - [ 932  932  992  872  845  792  822  825  792  667  ]
38 - [ 932  992  1120  932  1114  932  932  992  872  845  ]
39 - [ 932  932  932  992  932  992  1120  1114  872  845  ]
40 - [ 992  932  932  1114  932  932  992  1120  872  845  ]
41 - [ 1210  1201  1213  932  1120  992  992  932  932  932  ]
42 - [ 1210  1201  1213  932  932  932  992  932  992  1120  ]
43 - [ 1201  1213  1210  932  932  932  992  1120  932  992  ]
