0 - [ 5  8  5  ]
1 - [ 12  5  5  5  8  5  8  10  14  ]
2 - [ 31  5  5  12  5  8  8  14  10  5  ]
3 - [ 31  50  31  36  46  5  5  8  5  5  ]
4 - [ 31  46  70  50  31  31  36  31  46  36  ]
5 - [ 31  31  31  31  31  36  31  31  36  31  ]
6 - [ 31  31  31  31  31  31  31  31  31  31  ]
7 - [ 31  31  31  31  31  31  31  31  31  31  ]
8 - [ 31  31  31  31  31  31  31  31  31  31  ]
9 - [ 31  31  31  31  31  31  31  31  31  31  ]
10 - [ 31  31  31  31  31  31  31  31  31  31  ]
11 - [ 31  31  31  31  31  31  31  31  31  31  ]
12 - [ 31  31  31  31  31  31  31  31  31  31  ]
13 - [ 31  31  31  31  31  31  31  31  31  31  ]
14 - [ 31  31  31  31  31  31  31  31  31  31  ]
15 - [ 31  31  31  31  31  31  31  31  31  31  ]
16 - [ 31  31  31  31  31  31  31  31  31  31  ]
17 - [ 31  31  31  31  31  31  31  31  31  31  ]
18 - [ 31  31  31  31  31  31  31  31  31  31  ]
19 - [ 31  31  31  31  31  31  31  31  31  31  ]
20 - [ 31  31  31  31  31  31  31  31  31  31  ]
21 - [ 31  31  31  31  31  31  31  31  31  31  ]
22 - [ 31  31  31  31  31  31  31  31  31  31  ]
23 - [ 31  31  31  31  31  31  31  31  31  31  ]
24 - [ 31  31  31  31  31  31  31  31  31  31  ]
25 - [ 31  31  31  31  31  31  31  31  31  31  ]
26 - [ 31  31  31  31  31  31  31  31  31  31  ]
27 - [ 31  31  31  31  31  31  31  31  31  31  ]
28 - [ 31  31  31  31  31  31  31  31  31  31  ]
29 - [ 31  31  31  31  31  31  31  31  31  31  ]
30 - [ 31  31  31  31  31  31  31  31  31  31  ]
31 - [ 31  31  31  31  31  31  31  31  31  31  ]
32 - [ 31  31  31  31  31  31  31  31  31  31  ]
33 - [ 31  31  31  31  31  31  31  31  31  31  ]
34 - [ 31  31  31  31  31  31  31  31  31  31  ]
35 - [ 31  31  31  31  31  31  31  31  31  31  ]
36 - [ 31  31  31  31  31  31  31  31  31  31  ]
37 - [ 31  31  31  31  31  31  31  31  31  31  ]
38 - [ 31  31  31  31  31  31  31  31  31  31  ]
39 - [ 31  31  31  31  31  31  31  31  31  31  ]
40 - [ 31  31  31  31  31  31  31  31  31  31  ]
41 - [ 31  31  31  31  31  31  31  31  31  31  ]
42 - [ 31  31  31  31  31  31  31  31  31  31  ]
43 - [ 31  31  31  31  31  31  31  31  31  31  ]
44 - [ 31  31  31  31  31  31  31  31  31  31  ]
45 - [ 31  31  31  31  31  31  31  31  31  31  ]
46 - [ 31  31  31  31  31  31  31  31  31  31  ]
47 - [ 31  31  31  31  31  31  31  31  31  31  ]
48 - [ 31  31  31  31  31  31  31  31  31  31  ]
49 - [ 31  31  31  31  31  31  31  31  31  31  ]
50 - [ 31  31  31  31  31  31  31  31  31  31  ]
51 - [ 31  31  31  31  31  31  31  31  31  31  ]
52 - [ 31  31  31  31  31  31  31  31  31  31  ]
53 - [ 31  31  31  31  31  31  31  31  31  31  ]
54 - [ 31  31  31  31  31  31  31  31  31  31  ]
55 - [ 31  31  31  31  31  31  31  31  31  31  ]
56 - [ 31  31  31  31  31  31  31  31  31  31  ]
57 - [ 31  31  31  31  31  31  31  31  31  31  ]
58 - [ 31  31  31  31  31  31  31  31  31  31  ]
59 - [ 31  31  31  31  31  31  31  31  31  31  ]
60 - [ 31  31  31  31  31  31  31  31  31  31  ]
61 - [ 31  31  31  31  31  31  31  31  31  31  ]
62 - [ 31  31  31  31  31  31  31  31  31  31  ]
63 - [ 31  31  31  31  31  31  31  31  31  31  ]
64 - [ 31  31  31  31  31  31  31  31  31  31  ]
65 - [ 31  31  31  31  31  31  31  31  31  31  ]
66 - [ 31  31  31  31  31  31  31  31  31  31  ]
67 - [ 31  31  31  31  31  31  31  31  31  31  ]
68 - [ 31  31  31  31  31  31  31  31  31  31  ]
69 - [ 31  31  31  31  31  31  31  31  31  31  ]
70 - [ 31  31  31  31  31  31  31  31  31  31  ]
71 - [ 31  31  31  31  31  31  31  31  31  31  ]
72 - [ 31  31  31  31  31  31  31  31  31  31  ]
73 - [ 31  31  31  31  31  31  31  31  31  31  ]
74 - [ 31  31  31  31  31  31  31  31  31  31  ]
75 - [ 31  31  31  31  31  31  31  31  31  31  ]
76 - [ 31  31  31  31  31  31  31  31  31  31  ]
77 - [ 31  31  31  31  31  31  31  31  31  31  ]
78 - [ 31  31  31  31  31  31  31  31  31  31  ]
79 - [ 31  31  31  31  31  31  31  31  31  31  ]
80 - [ 31  31  31  31  31  31  31  31  31  31  ]
81 - [ 31  31  31  31  31  31  31  31  31  31  ]
82 - [ 31  31  31  31  31  31  31  31  31  31  ]
83 - [ 31  31  31  31  31  31  31  31  31  31  ]
84 - [ 31  31  31  31  31  31  31  31  31  31  ]
85 - [ 31  31  31  31  31  31  31  31  31  31  ]
86 - [ 31  31  31  31  31  31  31  31  31  31  ]
87 - [ 31  31  31  31  31  31  31  31  31  31  ]
88 - [ 31  31  31  31  31  31  31  31  31  31  ]
89 - [ 31  31  31  31  31  31  31  31  31  31  ]
90 - [ 31  31  31  31  31  31  31  31  31  31  ]
91 - [ 31  31  31  31  31  31  31  31  31  31  ]
92 - [ 31  31  31  31  31  31  31  31  31  31  ]
93 - [ 31  31  31  31  31  31  31  31  31  31  ]
94 - [ 31  31  31  31  31  31  31  31  31  31  ]
95 - [ 31  31  31  31  31  31  31  31  31  31  ]
96 - [ 31  31  31  31  31  31  31  31  31  31  ]
97 - [ 31  31  31  31  31  31  31  31  31  31  ]
98 - [ 31  31  31  31  31  31  31  31  31  31  ]
99 - [ 31  31  31  31  31  31  31  31  31  31  ]
