0 - [ 13  6  1  3  ]
1 - [ 1  13  22  6  3  ]
2 - [ 22  1  22  3  6  13  ]
3 - [ 46  22  22  13  1  3  6  ]
4 - [ 22  3  46  6  13  22  51  1  ]
5 - [ 72  51  46  22  22  13  1  6  3  ]
6 - [ 22  1  72  22  103  51  13  46  3  6  ]
7 - [ 46  22  51  22  72  6  103  13  116  1  ]
8 - [ 103  51  22  148  46  22  13  72  116  116  ]
9 - [ 171  116  116  116  174  148  116  148  173  103  ]
10 - [ 116  116  148  116  148  116  116  116  116  116  ]
11 - [ 116  116  116  116  116  116  116  116  116  116  ]
12 - [ 116  116  116  116  116  116  116  116  116  116  ]
13 - [ 116  116  116  116  116  116  116  116  116  116  ]
14 - [ 116  116  116  116  116  116  116  116  116  116  ]
15 - [ 116  116  116  116  116  116  116  116  116  116  ]
16 - [ 116  116  116  116  116  116  116  116  116  116  ]
17 - [ 116  116  116  116  116  116  116  116  116  116  ]
18 - [ 116  116  116  116  116  116  116  116  116  116  ]
19 - [ 116  116  116  116  116  116  116  116  116  116  ]
20 - [ 116  116  116  116  116  116  116  116  116  116  ]
21 - [ 116  116  116  116  116  116  116  116  116  116  ]
22 - [ 116  116  116  116  116  116  116  116  116  116  ]
23 - [ 116  116  116  116  116  116  116  116  116  116  ]
24 - [ 116  116  116  116  116  116  116  116  116  116  ]
25 - [ 116  116  116  116  116  116  116  116  116  116  ]
26 - [ 116  116  116  116  116  116  116  116  116  116  ]
27 - [ 116  116  116  116  116  116  116  116  116  116  ]
28 - [ 116  116  116  116  116  116  116  116  116  116  ]
29 - [ 116  116  116  116  116  116  116  116  116  116  ]
30 - [ 116  116  116  116  116  116  116  116  116  116  ]
31 - [ 116  116  116  116  116  116  116  116  116  116  ]
32 - [ 116  116  116  116  116  116  116  116  116  116  ]
33 - [ 116  116  116  116  116  116  116  116  116  116  ]
34 - [ 116  116  116  116  116  116  116  116  116  116  ]
35 - [ 116  116  116  116  116  116  116  116  116  116  ]
36 - [ 116  116  116  116  116  116  116  116  116  116  ]
37 - [ 116  116  116  116  116  116  116  116  116  116  ]
38 - [ 116  116  116  116  116  116  116  116  116  116  ]
39 - [ 116  116  116  116  116  116  116  116  116  116  ]
40 - [ 116  116  116  116  116  116  116  116  116  116  ]
41 - [ 116  116  116  116  116  116  116  116  116  116  ]
42 - [ 116  116  116  116  116  116  116  116  116  116  ]
43 - [ 116  116  116  116  116  116  116  116  116  116  ]
44 - [ 116  116  116  116  116  116  116  116  116  116  ]
45 - [ 116  116  116  116  116  116  116  116  116  116  ]
46 - [ 116  116  116  116  116  116  116  116  116  116  ]
47 - [ 116  116  116  116  116  116  116  116  116  116  ]
48 - [ 116  116  116  116  116  116  116  116  116  116  ]
49 - [ 116  116  116  116  116  116  116  116  116  116  ]
50 - [ 116  116  116  116  116  116  116  116  116  116  ]
51 - [ 116  116  116  116  116  116  116  116  116  116  ]
52 - [ 116  116  116  116  116  116  116  116  116  116  ]
53 - [ 116  116  116  116  116  116  116  116  116  116  ]
54 - [ 116  116  116  116  116  116  116  116  116  116  ]
55 - [ 116  116  116  116  116  116  116  116  116  116  ]
56 - [ 116  116  116  116  116  116  116  116  116  116  ]
57 - [ 116  116  116  116  116  116  116  116  116  116  ]
58 - [ 116  116  116  116  116  116  116  116  116  116  ]
59 - [ 116  116  116  116  116  116  116  116  116  116  ]
60 - [ 116  116  116  116  116  116  116  116  116  116  ]
61 - [ 116  116  116  116  116  116  116  116  116  116  ]
62 - [ 116  116  116  116  116  116  116  116  116  116  ]
63 - [ 116  116  116  116  116  116  116  116  116  116  ]
64 - [ 116  116  116  116  116  116  116  116  116  116  ]
65 - [ 116  116  116  116  116  116  116  116  116  116  ]
66 - [ 116  116  116  116  116  116  116  116  116  116  ]
67 - [ 116  116  116  116  116  116  116  116  116  116  ]
68 - [ 116  116  116  116  116  116  116  116  116  116  ]
69 - [ 116  116  116  116  116  116  116  116  116  116  ]
70 - [ 116  116  116  116  116  116  116  116  116  116  ]
71 - [ 116  116  116  116  116  116  116  116  116  116  ]
72 - [ 116  116  116  116  116  116  116  116  116  116  ]
73 - [ 116  116  116  116  116  116  116  116  116  116  ]
74 - [ 116  116  116  116  116  116  116  116  116  116  ]
75 - [ 116  116  116  116  116  116  116  116  116  116  ]
76 - [ 116  116  116  116  116  116  116  116  116  116  ]
77 - [ 116  116  116  116  116  116  116  116  116  116  ]
78 - [ 116  116  116  116  116  116  116  116  116  116  ]
79 - [ 116  116  116  116  116  116  116  116  116  116  ]
80 - [ 116  116  116  116  116  116  116  116  116  116  ]
81 - [ 116  116  116  116  116  116  116  116  116  116  ]
82 - [ 116  116  116  116  116  116  116  116  116  116  ]
83 - [ 116  116  116  116  116  116  116  116  116  116  ]
84 - [ 116  116  116  116  116  116  116  116  116  116  ]
85 - [ 116  116  116  116  116  116  116  116  116  116  ]
86 - [ 116  116  116  116  116  116  116  116  116  116  ]
87 - [ 116  116  116  116  116  116  116  116  116  116  ]
88 - [ 116  116  116  116  116  116  116  116  116  116  ]
89 - [ 116  116  116  116  116  116  116  116  116  116  ]
90 - [ 116  116  116  116  116  116  116  116  116  116  ]
91 - [ 116  116  116  116  116  116  116  116  116  116  ]
92 - [ 116  116  116  116  116  116  116  116  116  116  ]
93 - [ 116  116  116  116  116  116  116  116  116  116  ]
94 - [ 116  116  116  116  116  116  116  116  116  116  ]
95 - [ 116  116  116  116  116  116  116  116  116  116  ]
96 - [ 116  116  116  116  116  116  116  116  116  116  ]
97 - [ 116  116  116  116  116  116  116  116  116  116  ]
98 - [ 116  116  116  116  116  116  116  116  116  116  ]
99 - [ 116  116  116  116  116  116  116  116  116  116  ]
