0 - [ 1  6  7  1  ]
1 - [ 6  1  1  9  7  ]
2 - [ 9  9  24  1  6  7  1  ]
3 - [ 36  39  9  9  24  7  1  1  6  ]
4 - [ 39  66  39  36  69  58  36  9  9  24  ]
5 - [ 36  88  36  58  39  39  39  36  36  39  ]
6 - [ 132  123  36  36  39  39  39  39  36  36  ]
7 - [ 123  132  36  36  39  36  39  39  39  36  ]
8 - [ 177  123  132  36  39  39  36  36  39  39  ]
9 - [ 177  132  123  36  39  39  36  36  39  39  ]
10 - [ 177  177  123  132  39  39  36  39  36  39  ]
11 - [ 177  177  132  123  39  39  39  36  36  39  ]
12 - [ 300  177  177  177  177  123  132  39  39  39  ]
13 - [ 327  330  336  324  177  177  177  300  177  132  ]
14 - [ 354  360  327  324  330  336  177  177  177  177  ]
15 - [ 354  360  336  324  330  327  177  177  177  177  ]
16 - [ 177  354  330  360  417  336  327  177  414  324  ]
17 - [ 417  414  354  360  330  324  336  327  177  177  ]
18 - [ 480  414  414  417  475  417  477  354  360  327  ]
19 - [ 522  510  414  417  475  477  480  417  414  360  ]
20 - [ 522  510  414  480  417  417  475  414  477  360  ]
21 - [ 510  522  475  480  414  417  417  414  477  360  ]
22 - [ 594  522  510  477  417  414  475  480  414  417  ]
23 - [ 522  477  414  414  417  624  417  510  480  594  ]
24 - [ 624  594  522  510  417  414  417  414  477  480  ]
25 - [ 624  594  510  522  480  477  414  417  414  417  ]
26 - [ 624  624  594  522  510  414  417  417  477  414  ]
27 - [ 624  624  747  750  624  624  594  510  522  414  ]
28 - [ 624  624  624  747  750  624  594  510  522  414  ]
29 - [ 624  804  750  624  624  624  624  624  624  624  ]
30 - [ 852  624  624  624  624  624  750  624  624  624  ]
31 - [ 864  852  624  624  624  624  624  624  624  624  ]
32 - [ 864  864  852  624  624  624  624  624  624  624  ]
33 - [ 864  864  852  624  624  624  624  624  624  624  ]
34 - [ 864  864  852  624  624  624  624  624  624  624  ]
35 - [ 864  864  864  864  987  852  624  624  624  624  ]
36 - [ 864  864  864  864  987  852  624  624  624  624  ]
37 - [ 864  987  864  864  864  852  624  624  624  624  ]
38 - [ 864  864  864  864  987  852  624  624  624  624  ]
39 - [ 1107  864  864  864  987  864  852  624  624  624  ]
40 - [ 1149  1107  1107  864  864  864  987  864  852  624  ]
41 - [ 1107  1107  1149  864  987  864  864  864  852  624  ]
42 - [ 1107  1107  1107  1149  1200  1149  1107  1195  1212  864  ]
43 - [ 1107  1195  1200  1107  1107  1149  864  1149  1107  1212  ]
44 - [ 1107  1195  1107  1107  1200  1149  1107  1212  1149  864  ]
45 - [ 1284  1299  1302  1305  1107  1107  1149  1149  1107  1107  ]
46 - [ 1323  1320  1284  1302  1299  1305  1107  1107  1107  1107  ]
47 - [ 1344  1323  1320  1284  1305  1302  1299  1107  1107  1107  ]
48 - [ 1344  1320  1323  1299  1302  1284  1305  1107  1107  1107  ]
49 - [ 1344  1323  1320  1302  1299  1305  1284  1107  1107  1107  ]
50 - [ 1437  1344  1344  1320  1323  1299  1284  1302  1305  1107  ]
51 - [ 1470  1464  1344  1344  1437  1320  1323  1302  1299  1284  ]
52 - [ 1470  1464  1344  1344  1437  1323  1320  1299  1284  1302  ]
53 - [ 1284  1437  1299  1470  1302  1323  1344  1464  1320  1344  ]
54 - [ 1470  1464  1437  1344  1344  1320  1323  1299  1302  1284  ]
55 - [ 1464  1470  1344  1344  1437  1320  1323  1284  1299  1302  ]
56 - [ 1617  1470  1464  1344  1344  1437  1323  1320  1284  1302  ]
57 - [ 1617  1617  1645  1650  1470  1464  1344  1344  1437  1320  ]
58 - [ 1650  1645  1617  1617  1470  1464  1344  1437  1344  1320  ]
59 - [ 1710  1707  1617  1617  1650  1645  1470  1464  1344  1344  ]
60 - [ 1707  1710  1617  1645  1617  1650  1470  1464  1344  1344  ]
61 - [ 1710  1707  1617  1645  1617  1650  1464  1470  1344  1344  ]
62 - [ 1806  1710  1809  1707  1803  1707  1710  1645  1617  1617  ]
63 - [ 1707  1710  1707  1710  1809  1806  1803  1617  1617  1645  ]
64 - [ 1645  1707  1803  1710  1710  1617  1806  1809  1617  1707  ]
65 - [ 1707  1809  1710  1806  1803  1710  1707  1617  1617  1645  ]
66 - [ 1617  1809  1617  1707  1707  1710  1710  1803  1806  1645  ]
67 - [ 1803  1710  1806  1707  1707  1710  1809  1617  1617  1645  ]
68 - [ 1707  1710  1806  1710  1809  1707  1803  1645  1617  1617  ]
69 - [ 1806  1803  1707  1707  1710  1809  1710  1617  1645  1617  ]
70 - [ 2043  2049  1710  1806  1707  1707  1710  1809  1803  1617  ]
71 - [ 2043  2049  1710  1809  1707  1707  1710  1806  1803  1617  ]
72 - [ 2097  2094  2043  2049  1806  1710  1707  1707  1710  1809  ]
73 - [ 2097  2094  2049  2043  1710  1710  1809  1707  1806  1707  ]
74 - [ 2157  2097  2094  2049  2043  1710  1809  1710  1707  1707  ]
75 - [ 2157  2097  2094  2043  2049  1710  1707  1710  1707  1809  ]
76 - [ 2157  2217  2220  2157  2094  2097  2049  2043  1707  1710  ]
77 - [ 2217  2157  2157  2220  2094  2097  2049  2043  1710  1707  ]
78 - [ 2157  2157  2220  2217  2097  2094  2049  2043  1707  1710  ]
79 - [ 2217  2220  2157  2157  2094  2097  2049  2043  1707  1710  ]
80 - [ 2157  2157  2220  2217  2097  2094  2043  2049  1707  1710  ]
81 - [ 2157  2217  2220  2157  2094  2097  2043  2049  1707  1710  ]
82 - [ 2220  2157  2217  2157  2097  2094  2049  2043  1710  1707  ]
83 - [ 2217  2220  2157  2157  2097  2094  2043  2049  1707  1710  ]
84 - [ 2217  2220  2157  2157  2094  2097  2043  2049  1710  1707  ]
85 - [ 2217  2220  2157  2157  2094  2097  2043  2049  1707  1710  ]
86 - [ 2220  2157  2217  2157  2097  2094  2043  2049  1710  1707  ]
87 - [ 2217  2157  2220  2157  2097  2094  2043  2049  1710  1707  ]
88 - [ 1710  2220  2217  2097  2049  2043  1707  2094  2157  2157  ]
89 - [ 2220  2217  2157  2157  2094  2097  2049  2043  1707  1710  ]
90 - [ 2157  2157  2220  2217  2094  2097  2049  2043  1710  1707  ]
91 - [ 2157  2217  2220  2157  2094  2097  2043  2049  1710  1707  ]
92 - [ 2157  2220  2043  2217  2157  1707  2094  2049  2097  1710  ]
93 - [ 2049  2220  2217  1710  2157  2043  2157  2094  2097  1707  ]
94 - [ 2157  2220  2157  2217  2097  2094  2049  2043  1710  1707  ]
95 - [ 2220  2157  2217  2157  2094  2097  2049  2043  1707  1710  ]
96 - [ 2217  2220  2157  2157  2097  2094  2043  2049  1707  1710  ]
97 - [ 2217  2220  2157  2157  2094  2097  2043  2049  1710  1707  ]
98 - [ 2157  2220  2217  2157  2097  2094  2043  2049  1710  1707  ]
