0 - [ 8  2  2  ]
1 - [ 2  14  8  2  12  ]
2 - [ 12  14  19  14  12  26  2  8  2  ]
3 - [ 14  12  12  14  32  14  26  12  14  12  ]
4 - [ 14  32  12  26  12  14  12  14  12  14  ]
5 - [ 14  14  12  12  12  32  14  12  26  14  ]
6 - [ 12  14  14  12  12  14  14  14  12  14  ]
7 - [ 14  14  14  14  14  14  14  14  14  14  ]
8 - [ 14  14  14  14  14  14  14  14  14  14  ]
9 - [ 14  14  14  14  14  14  14  14  14  14  ]
10 - [ 14  14  14  14  14  14  14  14  14  14  ]
11 - [ 14  14  14  14  14  14  14  14  14  14  ]
12 - [ 14  14  14  14  14  14  14  14  14  14  ]
13 - [ 14  14  14  14  14  14  14  14  14  14  ]
14 - [ 14  14  14  14  14  14  14  14  14  14  ]
15 - [ 14  14  14  14  14  14  14  14  14  14  ]
16 - [ 14  14  14  14  14  14  14  14  14  14  ]
17 - [ 14  14  14  14  14  14  14  14  14  14  ]
18 - [ 14  14  14  14  14  14  14  14  14  14  ]
19 - [ 14  14  14  14  14  14  14  14  14  14  ]
20 - [ 14  14  14  14  14  14  14  14  14  14  ]
21 - [ 14  14  14  14  14  14  14  14  14  14  ]
22 - [ 14  14  14  14  14  14  14  14  14  14  ]
23 - [ 14  14  14  14  14  14  14  14  14  14  ]
24 - [ 14  14  14  14  14  14  14  14  14  14  ]
25 - [ 14  14  14  14  14  14  14  14  14  14  ]
26 - [ 14  14  14  14  14  14  14  14  14  14  ]
27 - [ 14  14  14  14  14  14  14  14  14  14  ]
28 - [ 14  14  14  14  14  14  14  14  14  14  ]
29 - [ 14  14  14  14  14  14  14  14  14  14  ]
30 - [ 14  14  14  14  14  14  14  14  14  14  ]
31 - [ 14  14  14  14  14  14  14  14  14  14  ]
32 - [ 14  14  14  14  14  14  14  14  14  14  ]
33 - [ 14  14  14  14  14  14  14  14  14  14  ]
34 - [ 14  14  14  14  14  14  14  14  14  14  ]
35 - [ 14  14  14  14  14  14  14  14  14  14  ]
36 - [ 14  14  14  14  14  14  14  14  14  14  ]
37 - [ 14  14  14  14  14  14  14  14  14  14  ]
38 - [ 14  14  14  14  14  14  14  14  14  14  ]
39 - [ 14  14  14  14  14  14  14  14  14  14  ]
40 - [ 14  14  14  14  14  14  14  14  14  14  ]
41 - [ 14  14  14  14  14  14  14  14  14  14  ]
42 - [ 14  14  14  14  14  14  14  14  14  14  ]
43 - [ 14  14  14  14  14  14  14  14  14  14  ]
44 - [ 14  14  14  14  14  14  14  14  14  14  ]
45 - [ 14  14  14  14  14  14  14  14  14  14  ]
46 - [ 14  14  14  14  14  14  14  14  14  14  ]
47 - [ 14  14  14  14  14  14  14  14  14  14  ]
48 - [ 14  14  14  14  14  14  14  14  14  14  ]
49 - [ 14  14  14  14  14  14  14  14  14  14  ]
50 - [ 14  14  14  14  14  14  14  14  14  14  ]
51 - [ 14  14  14  14  14  14  14  14  14  14  ]
52 - [ 14  14  14  14  14  14  14  14  14  14  ]
53 - [ 14  14  14  14  14  14  14  14  14  14  ]
54 - [ 14  14  14  14  14  14  14  14  14  14  ]
55 - [ 14  14  14  14  14  14  14  14  14  14  ]
56 - [ 14  14  14  14  14  14  14  14  14  14  ]
57 - [ 14  14  14  14  14  14  14  14  14  14  ]
58 - [ 14  14  14  14  14  14  14  14  14  14  ]
59 - [ 14  14  14  14  14  14  14  14  14  14  ]
60 - [ 14  14  14  14  14  14  14  14  14  14  ]
61 - [ 14  14  14  14  14  14  14  14  14  14  ]
62 - [ 14  14  14  14  14  14  14  14  14  14  ]
63 - [ 14  14  14  14  14  14  14  14  14  14  ]
64 - [ 14  14  14  14  14  14  14  14  14  14  ]
65 - [ 14  14  14  14  14  14  14  14  14  14  ]
